127.0.0.1, 2019-06-18 21:50:23, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000600
127.0.0.1, 2019-06-18 21:50:23, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.000657
127.0.0.1, 2019-06-18 21:50:23, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.002419
127.0.0.1, 2019-06-18 21:50:23, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.000957
127.0.0.1, 2019-06-18 21:50:23, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.002217
127.0.0.1, 2019-06-18 21:50:23, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000631
127.0.0.1, 2019-06-18 21:50:23, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.006502
127.0.0.1, 2019-06-18 21:50:23, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000520
127.0.0.1, 2019-06-18 21:50:23, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000520
127.0.0.1, 2019-06-18 21:50:23, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000504
127.0.0.1, 2019-06-18 21:50:23, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000497
127.0.0.1, 2019-06-18 21:50:23, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000581
127.0.0.1, 2019-06-18 21:50:24, GET, /examples/static/images/favicon.png, HTTP/1.1, 200, 0.000475
127.0.0.1, 2019-06-18 21:50:24, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000451
127.0.0.1, 2019-06-18 21:50:30, GET, /admin/default/site, HTTP/1.1, 200, 0.065057
127.0.0.1, 2019-06-18 21:50:32, GET, /welcome/default/index, HTTP/1.1, 200, 0.054579
127.0.0.1, 2019-06-18 21:50:32, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000570
127.0.0.1, 2019-06-18 21:50:44, GET, /welcome/default/grid/auth_user, HTTP/1.1, 303, 0.016234
127.0.0.1, 2019-06-18 21:50:44, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.031582
127.0.0.1, 2019-06-18 21:50:46, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.026586
127.0.0.1, 2019-06-18 21:51:02, POST, /welcome/default/user/register, HTTP/1.1, 303, 0.162531
127.0.0.1, 2019-06-18 21:51:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.028003
127.0.0.1, 2019-06-18 21:51:02, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000315
127.0.0.1, 2019-06-18 21:51:04, GET, /welcome/default/grid/auth_user, HTTP/1.1, 303, 0.015890
127.0.0.1, 2019-06-18 21:51:04, GET, /welcome/default/user/not_authorized, HTTP/1.1, 200, 0.021979
127.0.0.1, 2019-06-18 21:51:10, GET, /welcome/default/user/profile, HTTP/1.1, 200, 0.086531
127.0.0.1, 2019-06-18 21:51:15, GET, /welcome/default/user/logout, HTTP/1.1, 303, 0.070117
127.0.0.1, 2019-06-18 21:51:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.023672
127.0.0.1, 2019-06-18 21:51:15, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000363
127.0.0.1, 2019-06-18 21:51:17, GET, /admin/default/index, HTTP/1.1, 303, 0.007106
127.0.0.1, 2019-06-18 21:51:17, GET, /admin/default/site, HTTP/1.1, 200, 0.063916
127.0.0.1, 2019-06-18 21:51:23, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.136417
127.0.0.1, 2019-06-18 21:51:23, GET, /admin/static/_2.18.5/images/help.png, HTTP/1.1, 200, 0.000464
127.0.0.1, 2019-06-18 21:51:23, GET, /admin/static/_2.18.5/images/search.png, HTTP/1.1, 200, 0.001828
127.0.0.1, 2019-06-18 21:51:23, GET, /admin/static/_2.18.5/images/delete_icon.png, HTTP/1.1, 200, 0.001344
127.0.0.1, 2019-06-18 21:51:23, GET, /admin/static/_2.18.5/images/test_icon.png, HTTP/1.1, 200, 0.001070
127.0.0.1, 2019-06-18 21:51:52, GET, /examples/appadmin/d3_graph_model, HTTP/1.1, 200, 0.044514
127.0.0.1, 2019-06-18 21:51:52, GET, /admin/static/js/d3_graph.js, HTTP/1.1, 200, 0.000447
127.0.0.1, 2019-06-18 21:51:52, GET, /admin/static/js/d3.min.js, HTTP/1.1, 200, 0.001515
127.0.0.1, 2019-06-18 21:51:57, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.132768
127.0.0.1, 2019-06-18 21:51:58, GET, /examples/appadmin/index, HTTP/1.1, 200, 0.068896
127.0.0.1, 2019-06-18 21:51:59, GET, /examples/appadmin/hooks, HTTP/1.1, 200, 0.009749
127.0.0.1, 2019-06-18 21:55:17, GET, /, HTTP/1.1, 303, 0.001188
127.0.0.1, 2019-06-18 21:55:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.121876
127.0.0.1, 2019-06-18 21:55:18, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000313
127.0.0.1, 2019-06-18 21:55:20, GET, /admin/default/index, HTTP/1.1, 303, 0.125781
127.0.0.1, 2019-06-18 21:55:20, GET, /admin/default/site, HTTP/1.1, 200, 0.037559
127.0.0.1, 2019-06-18 21:55:24, POST, /admin/default/site, HTTP/1.1, 303, 0.054548
127.0.0.1, 2019-06-18 21:55:25, GET, /admin/default/design/cvs, HTTP/1.1, 200, 0.116392
127.0.0.1, 2019-06-18 21:55:32, POST, /admin/default/create_file, HTTP/1.1, 303, 0.030989
127.0.0.1, 2019-06-18 21:55:32, GET, /admin/default/design/cvs, HTTP/1.1, 200, 0.052814
127.0.0.1, 2019-06-18 21:55:38, GET, /admin/default/peek/cvs/models/user.py, HTTP/1.1, 200, 0.070117
127.0.0.1, 2019-06-18 21:55:42, GET, /admin/default/design/cvs, HTTP/1.1, 200, 0.085002
127.0.0.1, 2019-06-18 21:56:15, GET, /admin/default/peek/cvs/private/appconfig.ini, HTTP/1.1, 200, 0.012052
127.0.0.1, 2019-06-18 21:56:26, GET, /admin/default/design/cvs, HTTP/1.1, 200, 0.072054
127.0.0.1, 2019-06-18 21:57:06, GET, /admin/default/peek/cvs/models/db.py, HTTP/1.1, 200, 0.012031
127.0.0.1, 2019-06-22 08:50:55, GET, /, HTTP/1.1, 303, 0.001293
127.0.0.1, 2019-06-22 08:50:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.162897
